,index,Number,Title,Description,Link
1754,3,"Season 133, Episode 1",Stress Less in Cabo,"A San Diego couple is looking to regain control of their lives. Believing that a scenery change will do wonders for his high blood pressure, she's pushing for a move to Cabo San Lucas. There's no such thing as a truly stress-free life, and worries about money will follow them across the border.",https://www.hgtv.com/shows/house-hunters-international/episodes/stress-less-in-cabo
1755,4,"Season 133, Episode 2",Swimming to Limerick,"Competitive swim coaches Mark and Sarah were ready to jump the pond when she was offered a position in Limerick, Ireland. Rents in Limerick are high and living on one income will be an adjustment. He wants to be comfortable, but finding his ""Little Irish Castle"" for $1,400 a month will be like hunting for a pot of gold at the end of the rainbow.",https://www.hgtv.com/shows/house-hunters-international/episodes/swimming-to-limerick
1756,5,"Season 133, Episode 3","Ready or Not in Bristol, England","Erin and Sean have always lived in California with their two daughters and two dogs. When Sean was offered a position in Bristol, England, he shocked his wife by taking it. Erin had no plans to leave her teaching job of 18 years or the beautiful California weather. Finally convinced it would be a great opportunity for the kids, Erin is a newbie stay-at-home mom who makes it her business to find a home that suits her just right.",https://www.hgtv.com/shows/house-hunters-international/episodes/ready-or-not-in-bristol-england
1757,6,"Season 133, Episode 4",Canadians in Cambodia,"Bored with life in Vancouver, millennials Nick and Raychel are moving to Cambodia sight unseen for the adventure of a lifetime. Skater Nick's laid-back personality suits the relaxed and simple living offered in Phnom Penh, but Raychel realizes that she may be in over her head. Her quest for western amenities is harshing Nick's chill vibes, but he hopes she can come around to his way of thinking.",https://www.hgtv.com/shows/house-hunters-international/episodes/canadians-in-cambodia
1758,7,"Season 133, Episode 5","Have Baby, Will Travel","A globetrotting couple follows a job opportunity to Johor Bahru, Malaysia, to prove having a baby doesn't mean settling down. However, the only thing they agree on is that the city's lush greenery offers a better environment for raising their son.",https://www.hgtv.com/shows/house-hunters-international/episodes/have-baby-will-travel
1759,8,"Season 133, Episode 6",Opposites Attract in Tamarindo,"After vacationing in Tamarindo, Costa Rica, an overworked couple fell in love with the climate, beach and laidback lifestyle. They both want to get away from long commutes and spend more time together, but he wants a rustic and remote hideaway while she wants something modern and centrally located.",https://www.hgtv.com/shows/house-hunters-international/episodes/opposites-attract-in-tamarindo
1760,9,"Season 133, Episode 7","Haunting in Kaiserslautern, Germany","A military family is moving to Kaiserslautern, Germany, and need a large home. They know European houses are usually smaller, but she is determined to find an old house with quintessential German charm. He's dreadfully afraid of ghosts, though, and convinced that old German houses will have old German secrets.",https://www.hgtv.com/shows/house-hunters-international/episodes/haunting-in-kaiserslautern-germany
1761,10,"Season 133, Episode 8","Love and Patio in Essaouira, Morocco","Elena and Bill created their own advertising and design firm in Dallas, Texas. After 14 years of owning and running a stressful business they're finally ready to hand daily operations over to their son and work remotely in Morocco. Elena wants to live in the bustling medina quarter, but Bill wants a rooftop terrace with an ocean view.",https://www.hgtv.com/shows/house-hunters-international/episodes/love-and-patio-in-essaouira-morocco
1762,11,"Season 133, Episode 9",Hitting Reset in Bocas del Toro,"A woman hit the reset button after a difficult divorce with a trip to Bocas del Toro, Panama, and now she's back with a big dream and a tiny budget to find a new place to call home.",https://www.hgtv.com/shows/house-hunters-international/episodes/hitting-reset-in-bocas-del-toro
1763,12,"Season 133, Episode 10",A Second-generation Adventure,"Experiencing West Africa as a kid left a huge impression on a woman's life, and now she has an opportunity to return to Senegal for work. The timing doesn't work for her husband, so their young son is tagging along to help find a place the whole family can eventually enjoy.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-second-generation-adventure
1764,13,"Season 133, Episode 11",A Crossroads in Luxembourg,"Two Denver parents jump at the opportunity to take a job offer in Luxembourg so they can expose their son to a wide world of art and culture. Dad is excited to live in Luxembourg's striking countryside, but with no work visa Mom's on a mission to push him closer to central Luxemborg. At the end of the day they'll have to agree on the option that's best for their son.",https://www.hgtv.com/shows/house-hunters-international/episodes/adulthood-adventure-in-madrid
1765,14,"Season 133, Episode 12",Making Moves in Medellin,"A couple of opposites who have been together for 27 years decide to move from comfy California to Medellin, Colombia, but their different agendas may finally cause a snag.",https://www.hgtv.com/shows/house-hunters-international/episodes/making-moves-in-medellin
1766,15,"Season 133, Episode 13",To Work or Not to Work in Lake Como,"A father with a hectic professional life convinced his family to take an extended vacation to the calm and peaceful haven of Lake Como, Italy, to help relieve his work stress. But the lure of a satellite office in nearby Milan is skewing his priorities, and it will be a full-time job for his wife and kids to remind him why they came here in the first place.",https://www.hgtv.com/shows/house-hunters-international/episodes/to-work-or-not-to-work-in-lake-como
1767,16,"Season 134, Episode 1",The Catania Conundrum,"Michael has spent much of his marriage to Lois deployed as a member of the U.S. Navy. Now he's being transferred to Catania, Italy, on a three-year assignment, and although they're excited to be together with their daughters, the couple is discovering that their wish lists couldn't be further apart. Lois wants Italian charm, but Michael is pushing for practicality with a view.",https://www.hgtv.com/shows/house-hunters-international/episodes/the-catania-conundrum
1768,17,"Season 134, Episode 2",A Three-Country Tour,"After a lifetime in small-town America, Cort took a big step by applying for a new position abroad. Now he and his family are headed to Luxembourg for a bold adventure. The tiny country that borders Germany and France has everything to offer, but the higher cost of living may literally drive Cort and his family out of the country to find a place to live.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-three-country-tour
1769,18,"Season 134, Episode 3",Luck of the Irish,"This couple fell in love with the Ireland when their son studied abroad there. Now they're hoping to lead a more relaxed life in the Emerald Isle but with change comes friction. She wants to take a break from working and experience city life but as the sole provider, he's hoping to stay close to his job. These two are no strangers to bickering but tensions reach an all-time high when the pot of gold they were looking for isn't at the end of the rainbow.",https://www.hgtv.com/shows/house-hunters-international/episodes/luck-of-the-irish
1770,19,"Season 134, Episode 4",Fiji's Hidden Luxury,"A man is ready to move his family from Canada to his native Fiji to spend more time together as a family. While they're highly motivated to make the move, however, there are many risks and limitations. Living off a single income, the family hopes to live simply like the happy-go-lucky locals but all bets are off once they get a taste of affordable Fijian luxury.",https://www.hgtv.com/shows/house-hunters-international/episodes/fijis-hidden-luxury
1771,20,"Season 134, Episode 5",Hitting the Links in Aalborg,"After a golfer from Denmark fell in love with a Texas college student, the pair began a long-distance relationship that eventually turned into marriage. Now married and with a baby on the way, the couple is ready to settle in his hometown of Aalborg, Denmark, where they can start a family, focus on his golf career and see what other surprises are in store.",https://www.hgtv.com/shows/house-hunters-international/episodes/hitting-the-links-in-aalborg
1772,21,"Season 134, Episode 6",Baby Girl Meets Orvieto,"An entrepreneur and new mom is ready to return to the beloved small town of Orvieto, Italy, where she studied abroad. She hopes to start a travel club for American girls but living with a two-year-old in medieval Italy isn't the same as visiting as a freewheeling student. With an ex-pat property expert as her guide, this new mom will have to choose between what she wants and what she actually needs.",https://www.hgtv.com/shows/house-hunters-international/episodes/baby-girl-meets-orvieto
1773,22,"Season 134, Episode 7",A Sea Queen in Sydney,"South African natives are taking their young family to Sydney, Australia, to get a warmer climate and more time together. Since she's sacrificing everything she's ever known to make this move, she's hoping to live the life of a housewife by the sea -- but will he play along?",https://www.hgtv.com/shows/house-hunters-international/episodes/a-sea-queen-in-sydney
1774,23,"Season 134, Episode 8",Amsterdam For Young Lovers,"After spending their whole lives in Australia, a couple of adventurous world travelers packed their bags for the Netherlands and didn't look back. They're young, in love and fear nothing, but settling in Amsterdam may require more than hugs and kisses at their price point.",https://www.hgtv.com/shows/house-hunters-international/episodes/amsterdam-for-young-lovers
1775,24,"Season 134, Episode 9",Startup in Singapore,"A Washington, DC, lawyer wants to trade in his comfortable lifestyle for adventure, excitement and possibility in Southeast Asia. He decides to push his boundaries by quitting his job to join a tech startup in Singapore.",https://www.hgtv.com/shows/house-hunters-international/episodes/startup-in-singapore
1776,25,"Season 134, Episode 10",Next Generation in Dubrovnik,"With three small kids growing before their eyes, a Florida couple has decided to slow down and appreciate life more in his storied childhood hometown of Dubrovnik, Croatia. She's a small-town girl who is easily charmed by the historic old city and is excited about what the experience will bring to their family. But between him trying to recreate the past and her trying to adapt, happiness may lie in compromise.",https://www.hgtv.com/shows/house-hunters-international/episodes/next-generation-in-dubrovnik
1777,26,"Season 134, Episode 11",Drawn to Life in Stockholm,"After the birth of their child, a Toronto animator and his wife decided it was time for more stability than his freelance paycheck provided. He landed a full-time gig in Stockholm, Sweden, but she's the one drawing all the lines while they hunt for a new home.",https://www.hgtv.com/shows/house-hunters-international/episodes/drawn-to-life-in-stockholm
1778,27,"Season 134, Episode 12",Family Values in Spain,"After landing in the city following a job opportunity, a couple is staying in Chipiona, Spain, for the family values. They've decided to start a family but are split when it comes to whether they should rent or buy. He's attracted to the long-term value and the ability to customize a purchased home but she's stuck on the practicality that comes with renting so she can stay stress-free while carrying their child.",https://www.hgtv.com/shows/house-hunters-international/episodes/family-values-in-spain
1779,28,"Season 134, Episode 13",Liffey Runs Through It,"Newlyweds head to Dublin, Ireland, when he's given a job offer in the city. His wife was thrilled to hear it but she had just started her dream job in Minneapolis and isn't so sure she wants to give it up. The couple strikes a deal that if they move to Dublin, they'll find a home downtown so she can feel the heartbeat of the new city -- a plan that made perfect sense until he saw the price tag. Now the couple must decide if she's going to concede once again to keep the marriage on track or if he's going to bite the bullet and go over budget to honor her big sacrifice.",https://www.hgtv.com/shows/house-hunters-international/episodes/liffey-runs-through-it
1780,29,"Season 135, Episode 1","Falling in Love with Wroclaw, Poland","After falling in love with Poland and its culture, a young entrepreneur is moving to Wroclaw to develop his business. He hopes to be close to the action with a home in the city center, but he also wants some outdoor space.",https://www.hgtv.com/shows/house-hunters-international/episodes/falling-in-love-with-wroclaw-poland
1781,30,"Season 135, Episode 2",Touchdown in Poland,"A job opportunity is bringing a young football player and coach to the Polish seaside city of Gdynia. With help from his friend, this laid-back bachelor looks for a place that is centrally located but not too expensive.",https://www.hgtv.com/shows/house-hunters-international/episodes/touchdown-in-poland
1782,31,"Season 135, Episode 3",A New Baby and New Life in Katowice,"Soon-to-be parents have decided to give up their hectic lives in London and find a new home where they can focus more on free time. This Polish-British couple is looking for a spacious property in Katowice, Poland, that will fit their growing family, offer outdoor space for the kids and provide extra space for work.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-new-baby-and-new-life-in-katowice
1783,32,"Season 135, Episode 4",A Taste of a New Life in Prague,"An energetic dance instructor has decided to leave her empty nest in Ohio and take up teaching English in Prague, Czech Republic. While looking for an apartment, she'll hopes to reconcile her passion for both traveling and cooking but doesn't want to compromise when it comes to affordability and space.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-taste-of-a-new-life-in-prague
1784,33,"Season 135, Episode 5",A Family Adventure in Budapest,"A craving for adventure brings a family of three to Budapest. The young couple is excited to turn their lives upside down, but they have differing expectations for their new home. He wants to be close to the vibrant city center, while she would like to live in a quiet, family-friendly neighborhood.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-family-adventure-in-budapest
1785,34,"Season 135, Episode 6",Back to Her Roots in Budapest,A young woman gives up her American life to rediscover her roots in Budapest. She has a healthy budget to purchase a comfortable flat to start her new life but is unprepared for the surprises awaiting her in the quirky real estate market.,https://www.hgtv.com/shows/house-hunters-international/episodes/back-to-her-roots-in-budapest
1786,35,"Season 135, Episode 7",New Chapter in Budapest,"Starr and Norbert have always loved traveling, and with a baby on the way, they've decided to move to Budapest so they can travel around Europe and reconnect with Norbert's Hungarian family. The couple is looking for a spacious apartment that fits their growing family and is an inspiring place for Norbert to work at home. However, Norbert dreams of living on the Buda side of the city while Starr wants to live closer to the city center.",https://www.hgtv.com/shows/house-hunters-international/episodes/new-chapter-in-budapest
1787,36,"Season 135, Episode 8",Fresh Start in Warsaw,"In search of a new life, a woman is leaving the US and her career in banking to teach English in Warsaw, Poland. She's eager to embrace the European lifestyle and is looking for an affordable, centrally-located apartment with a great kitchen and outdoor space for her cat.",https://www.hgtv.com/shows/house-hunters-international/episodes/fresh-start-in-warsaw
1788,37,"Season 135, Episode 9","Make Room for Six in Krakow, Poland","A couple seizes a once-in-a-lifetime opportunity and moves their family of six to Krakow, Poland. After living hectic lives apart in the US, they want to spend more time together in a home that has enough room for everyone.",https://www.hgtv.com/shows/house-hunters-international/episodes/make-room-for-six-in-krakow-poland
1789,38,"Season 135, Episode 10",New Possibilities in Krakow,"A couple is trading their career-oriented lives in Nevada for culture-filled city lives in Krakow, Poland. While they want to live as close to the city's Old Town as possible, finding a home that checks all the boxes on their wish list -- including a parking space for their car -- proves difficult in the city center.",https://www.hgtv.com/shows/house-hunters-international/episodes/new-possibilities-in-krakow
1790,39,"Season 135, Episode 11","Hipsters in Warsaw, Poland","A young couple from North Carolina leaves their peaceful life in Charlotte for the vibrant city of Warsaw, Poland. They want to be close to his siblings and develop their interests in film and photography, so they search for a home close to the city center and nature.",https://www.hgtv.com/shows/house-hunters-international/episodes/hipsters-in-warsaw-poland
1791,40,"Season 135, Episode 11","Hipsters in Warsaw, Poland","A young couple from North Carolina leaves their peaceful life in Charlotte for the vibrant city of Warsaw, Poland. They want to be close to his siblings and develop their interests in film and photography, so they search for a home close to the city center and nature.",https://www.hgtv.com/shows/house-hunters-international/episodes/hipsters-in-warsaw-poland
1792,41,"Season 135, Episode 12",Jumping in Prague,"A Canadian woman is leaving both her home and family to go on a European adventure! She fell in love with the area the first time she visited and hopes her best friend can help her find the perfect home in historic Prague, Czech Republic.",https://www.hgtv.com/shows/house-hunters-international/episodes/jumping-in-prague
1793,42,"Season 135, Episode 13",Newlyweds in Prague,"Philadelphia newlyweds have decided to make Prague, Czech Republic -- one of Europe's most romantic cities -- their new home. They hope their European adventure will be centered in an apartment that will blend the city's old, historic feel with elegant modernity but have a difficult time finding a place that's both close to his job and near the city center.",https://www.hgtv.com/shows/house-hunters-international/episodes/newlyweds-in-prague
1794,43,"Season 135, Episode 14",Falling in Love with Malta,"A couple is leaving their stressful lives behind in England to search for a new home in sunny Malta. Starting a new chapter is always exciting but the couple can't agree when it comes to finding an ideal home. He likes modern interiors and enjoys a city vibe but she's more into quiet areas and would love to live on the countryside, making it difficult for the duo to agree on their true dream home.",https://www.hgtv.com/shows/house-hunters-international/episodes/falling-in-love-with-malta
1795,44,"Season 135, Episode 2",Fan Faves: Touchdown in Poland,"Check out this fan favorite as a young football player and coach follow a job opportunity to the Polish seaside city of Gdynia. With help from his friend, the laid-back bachelor hopes to find a place that is centrally located and not too expensive.",https://www.hgtv.com/shows/house-hunters-international/episodes/fan-faves-touchdown-in-poland
1796,45,"Season 136, Episode 1",Parent Roommates in Slovenia,"A couple decides to help their son plant roots in their ancestral Slovenia. However, it's growing pains all over again as Mom wants to get him a place where she can visit, and he has reservations about sharing a space with his parents.",https://www.hgtv.com/shows/house-hunters-international/episodes/parent-roommates-in-slovenia
1797,46,"Season 136, Episode 2","Diving Deep in Malaga, Spain","Yvette, Chad and their three kids are moving back to her hometown of Malaga, Spain, from Branson, Missouri. He's passionate about teaching scuba and the Southern coast of Spain is the perfect place to launch a new business. She wants to be close to the city and culture, but he wants a private pool in the suburbs.",https://www.hgtv.com/shows/house-hunters-international/episodes/diving-deep-in-malaga-spain
1798,47,"Season 136, Episode 3",Newlyweds in the Old Country,"After years of dating long-distance, a woman leaves North Carolina to start life with her new husband in Bury St Edmunds, England. She longs to live near the center of town in a place with historic charm, but he prefers the countryside with plenty of space for a garden.",https://www.hgtv.com/shows/house-hunters-international/episodes/newlyweds-in-the-old-country
1799,48,"Season 136, Episode 4",Family Memories in Mexico,"A mom and daughter love traveling together, but now that the daughter has a young family of her own, it's harder to take trips. They decide to get a family condo in Puerto Penasco, Mexico, where they can spend time together as a family. However, while one wants a fixer-upper, the other demands a move-in ready place so they can start making memories right away.",https://www.hgtv.com/shows/house-hunters-international/episodes/family-memories-in-mexico
1800,49,"Season 136, Episode 5",Family Magic in Merida,"A young North Carolina family moves to Merida, Mexico, to work remotely and broaden their sons' horizons. With the kids' school located halfway between Merida and the beach, they must decide to stay in town or on the Gulf of Mexico.",https://www.hgtv.com/shows/house-hunters-international/episodes/family-magic-in-merida
1801,50,"Season 136, Episode 6","Wine Not Move to Querétaro, Mexico","A Florida couple looks to relocate internationally to the vineyard-rich Queretaro region of Mexico for his online wine business. However, with only $500 to spend per month on a rental, they will have to be willing to downsize.",https://www.hgtv.com/shows/house-hunters-international/episodes/wine-not-move-to-quertaro-mexico
1802,51,"Season 136, Episode 7","Property Expert Faceoff in Cuernavaca, Mexico","A Beverly Hills real estate agent and interior designer is looking for a slower-paced lifestyle near his mother in Cuernavaca, Mexico. He adores the Spanish colonial-style homes with their expansive gardens, but his agent thinks he should consider something that requires less time and attention.",https://www.hgtv.com/shows/house-hunters-international/episodes/property-expert-faceoff-in-cuernavaca-mexico
1803,52,"Season 136, Episode 8",Beach or Bust,"A couple's dream of living abroad comes true when he lands a job in Melbourne, Australia. He wants a home that offers a short commute so he can spend more time with the kids. However, she has her sights set on living close to the beach, which could cause his commute to be a nightmare.",https://www.hgtv.com/shows/house-hunters-international/episodes/beach-or-bust
1804,53,"Season 136, Episode 9",New Beginning in Melbourne,"A Connecticut man decides to leave everything behind to accept a job offer in Sydney, Australia, only to find out the position was moved to Melbourne at the last minute. Now he has no choice but to start anew in a city he doesn't know.",https://www.hgtv.com/shows/house-hunters-international/episodes/new-beginning-in-melbourne
1805,54,"Season 136, Episode 10",From Tundra to Down Under,"Newlyweds Adam and Nameeta are moving from Canada to Newcastle, Australia, to follow Adam's job at an expanding auction house. With no support system and a new marriage, their different ideas of the perfect house are just a couple of the challenges they'll face.",https://www.hgtv.com/shows/house-hunters-international/episodes/from-tundra-to-down-under
1806,55,"Season 136, Episode 11",Come Home to Rome,New Jersey parents with a daughter studying abroad decide to buy a family home in Rome that will double as her school digs. The challenge is finding an apartment that supports her temporary academic life but will outlast her degree.,https://www.hgtv.com/shows/house-hunters-international/episodes/come-home-to-rome
1807,56,"Season 136, Episode 12",Dancing in Medellin,"A couple that wants to start a fashion business and expose their daughter to another culture moves to Medellin, Colombia. She wants a home with a quiet area where she can work on her designs, but he and their daughter want space to dance.",https://www.hgtv.com/shows/house-hunters-international/episodes/dancing-in-medellin
1808,0,"Season 136, Episode 13",Bracing for Change in Barcelona,"A Pennsylvania couple is ready to leave small-town American life behind for an adventure abroad in Barcelona. After years of waiting, one is anxious to settle, while the other is set on perfection.",https://www.hgtv.com/shows/house-hunters-international/episodes/bracing-for-change-in-barcelona
1809,1,"Season 137, Episode 1",Fearing Finnish Winters in Jyvaskyla,"A woman accepts a job in Jyvaskyla, Finland, knowing nothing about the location other than it has notoriously cold and dark winters. Despite assurances from her friend and agent that winter is manageable, her fear runs wild and she finds herself tasked with choosing between spreading her finances too thin or embracing a winter commute.",https://www.hgtv.com/shows/house-hunters-international/episodes/fearing-finnish-winters-in-jyvaskyla
1810,2,"Season 137, Episode 2",Escaping the Comfortable Life for London Thrills,Longtime sweethearts tired of their comfortable life in Cincinnati look for a change of pace in London. But this strong-willed couple has trouble agreeing on their first joint home and has the property expert playing both guru and referee.,https://www.hgtv.com/shows/house-hunters-international/episodes/escaping-the-comfortable-life-for-london-thrills
1811,3,"Season 137, Episode 3",Long-Term Living in Denmark,"A Pennsylvania couple goes all-in to pursue one's career in Copenhagen, Denmark. While Mike wants to embrace minimalism and local living, Derek feels he has given up a lot and wants to be comfortable in his home.",https://www.hgtv.com/shows/house-hunters-international/episodes/long-term-living-in-denmark
1812,4,"Season 137, Episode 4",A Couple's Compromise in Brisbane,A Canadian woman leaves her budding career behind to support her fiance as he attends medical school in Australia. But her current unemployment and his spending habits will put their relationship to a test as they search for a new home together.,https://www.hgtv.com/shows/house-hunters-international/episodes/a-couples-compromise-in-brisbane
1813,5,"Season 137, Episode 5",Keeping the Adventure Alive in Ecuador,"Colorado newlyweds are making a transitional move to Manta, Ecuador, with the intention of moving their permanently after his daughters leave the nest. But before they can settle into happily ever after, they'll have to settle their disagreement about where in town to live.",https://www.hgtv.com/shows/house-hunters-international/episodes/keeping-the-adventure-alive-in-ecuador
1814,6,"Season 137, Episode 6",Business or Pleasure in Los Cabos,"A couple with a multi-million-dollar budget wants the best Los Cabos has to offer for their new Mexican vacation home. While she pictures a private place to enjoy with their two teenage kids, his entrepreneurial side puts them at odds as he pushes for a rental-friendly property that's far beyond their already high price point.",https://www.hgtv.com/shows/house-hunters-international/episodes/business-or-pleasure-in-los-cabos
1815,7,"Season 137, Episode 6",Business or Pleasure in Los Cabos,"A couple with a multi-million-dollar budget wants the best Los Cabos has to offer for their new Mexican vacation home. While she pictures a private place to enjoy with their two teenage kids, his entrepreneurial side puts them at odds as he pushes for a rental-friendly property that's far beyond their already high price point.",https://www.hgtv.com/shows/house-hunters-international/episodes/business-or-pleasure-in-los-cabos
1816,8,"Season 137, Episode 7",Starting a New Life in Bali,"A Los Angeles woman leaves her old life behind to start anew as a travel writer in Bali. She leans on her dad to point her in the right direction, but her strong will may stand in the way of dad's safe and solid advice.",https://www.hgtv.com/shows/house-hunters-international/episodes/starting-a-new-life-in-bali
1817,9,"Season 137, Episode 8",Off She Goes to Mexico,"A woman tired of the daily grind in California decides to use her savings to buy a home with rental potential on Mexico's Yucatan Peninsula. She wants colonial architecture and proximity to attractions for her future guests, but her budget constraints mean she'll have to look at houses that may be less than 'perfecto.'",https://www.hgtv.com/shows/house-hunters-international/episodes/off-she-goes-to-mexico
1818,10,"Season 137, Episode 9",Diving into Utrecht,"A Dutch expatriate has always wanted her husband and kids to share the same experiences that filled her childhood, and after years of planning, they're finally ready to purchase in Utrecht. But fulfilling her dreams requires finding office space for him to keep working.",https://www.hgtv.com/shows/house-hunters-international/episodes/diving-into-utrecht
1819,11,"Season 137, Episode 10","Blogging in Da Nang, Vietnam","A couple decides to move sight-unseen from Prague, Czech Republic, to Da Nang, Vietnam. She's looking forward to documenting the experience for her travel blog but it's one thing to write about Da Nang's frantic city vibe and another to call it home. With the added pressure of adjusting to living together for the first time, the couple may be in for more than just a little culture shock.",https://www.hgtv.com/shows/house-hunters-international/episodes/blogging-in-da-nang-vietnam
1820,12,"Season 137, Episode 11",Victory in Vicenza,"An American woman diagnosed with a unique medical condition is moving to Vicenza, Italy, to be near a treatment center and live with her Italian boyfriend. Now, they must find a place that suits them both, while offering all the amenities she needs to combat her health concerns.",https://www.hgtv.com/shows/house-hunters-international/episodes/victory-in-vicenza
1821,13,"Season 137, Episode 12",Family Time in Kaiserslautern,"A couple with three kids jumps on the opportunity to move abroad after a job offer in Germany arises. His dream is a short commute in Kaiserslautern, but her wish for a great neighborhood may put him on the Autobahn more than he desires.",https://www.hgtv.com/shows/house-hunters-international/episodes/family-time-in-kaiserslautern
1822,14,"Season 137, Episode 13",Berlin on a Budget,"Young Canadian newlyweds fell in love with Germany on their honeymoon, so they decided to pack up and pursue graduate school in Berlin. Between the two of them they have big dreams, but they will have to get creative on a shoestring student budget.",https://www.hgtv.com/shows/house-hunters-international/episodes/berlin-on-a-budget
1823,15,"Season 138, Episode 1",Reconnecting in Bariloche,"With six children under age 12, life in Washington state is hectic for Erica and Andy, and they've finally had enough. Erica spent time in Argentina when she was younger, and the pristine natural beauty of Bariloche feels right to them. Erica will work remotely while Andy takes care of the kids. He's ready to unplug and enjoy the wilderness, but Erica is nervous about being too far away from civilization and wants the kids to stay connected.",https://www.hgtv.com/shows/house-hunters-international/episodes/reconnecting-in-bariloche
1824,16,"Season 138, Episode 2",From the Burbs to Bangkok,"A woman yearning to break free from suburban life in Texas leaps at the opportunity to follow her husband's job to Bangkok, Thailand. However, once overseas, she's anxious about the changes that come with living in a big city and longs for the comforts of home.",https://www.hgtv.com/shows/house-hunters-international/episodes/from-the-burbs-to-bangkok
1825,17,"Season 138, Episode 3",A Life Reset,"After unexpectedly losing two family members, a man is inspired to start living life to the fullest. He and his wife decide to return to Punta Cana, Dominican Republic, the place where they married, and turn a new page. However, with a tight bottom line, she knows keeping his desires in check won't be easy.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-life-reset
1826,18,"Season 138, Episode 4",Family Democracy in Noosa,"Yan and Natascha honeymooned in Noosa, Australia, 17 years ago and have been trying to make a permanent move Down Under from Switzerland ever since. In the spirit of democracy, they invite their three children to vote on the biggest decision their family will ever make. Mom and Dad want different houses, though, so they have to campaign hard to win the kids' votes.",https://www.hgtv.com/shows/house-hunters-international/episodes/family-democracy-in-noosa
1827,19,"Season 138, Episode 5",A Crawley Country Mile,"American Grace and Londoner Kris have had a whirlwind long-distance relationship. Now they're married and moving to quiet Crawley, England, to start a life together. Adapting to married life is hard enough, but trying to agree on a home and finally living together in the same space may bring some growing pains.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-crawley-country-mile
1828,20,"Season 138, Episode 6","Family Fun in Valencia, Spain","After living in Tennessee for 12 years, Paul and Kate are moving to Valencia, Spain, to simplify their life and spend more time together as a family. The couple wants to give their young kids a taste of the world by moving to the heart of Valencia's Old City, but space comes at a premium there. Kate is willing to downsize, but Paul fears that giving up a reliable workspace could put their livelihood in jeopardy.",https://www.hgtv.com/shows/house-hunters-international/episodes/family-fun-in-valencia-spain
1829,21,"Season 138, Episode 7",Hard Work Pays Off,"A woman that's vacationed in Tulum, Mexico, several times decides it's time to invest in a property she can live in and rent. However, she quickly discovers that seeing a property from an investment point of view is different than finding something she will love.",https://www.hgtv.com/shows/house-hunters-international/episodes/hard-work-pays-off
1830,22,"Season 138, Episode 8",Adulting in Amsterdam,"Courtney has always wanted to live in Europe, and an unexpected job opportunity for her boyfriend, Andrew, in Amsterdam is making her dream come true. She wants to downsize and use the money they save to travel, but the small spaces have them second-guessing everything, including each other.",https://www.hgtv.com/shows/house-hunters-international/episodes/adulting-in-amsterdam
1831,23,"Season 138, Episode 9",Choppy Seas in Sydney,"Adam and Katelyn are moving from Des Moines, Iowa, to Sydney, Australia, where she'll be a masters student at Western Sydney University. Adam has a job lined up and is looking forward to endless ocean and aquarium visits. But Adam's job and Katelyn's school are at opposite ends of the city, so their priorities are at odds, too.",https://www.hgtv.com/shows/house-hunters-international/episodes/choppy-seas-in-sydney
1832,24,"Season 138, Episode 10","Poolside in Perth, Australia",A British couple enticed by Australian sunshine decides to settle down in Perth to live near her family. Together they will look for a poolside paradise that doesn't cannon-ball their finances.,https://www.hgtv.com/shows/house-hunters-international/episodes/poolside-in-perth-australia
1833,25,"Season 138, Episode 11","Struggling to Assimilate in Frankfurt, Germany","Australian newlyweds are finally reuniting to live together after he left to follow a dream job in Frankfurt, Germany. However, she struggles with local living, including the food and language, as well as contending with his obsession over fast German cars.",https://www.hgtv.com/shows/house-hunters-international/episodes/struggling-to-assimilate-in-frankfurt-germany
1834,26,"Season 138, Episode 12",A Modern Day Viking Conquest in Sweden,"Two modern-day Vikings living in Gothenburg, Sweden, desperately need more space for them and their four dogs. These two want a sturdy home with ample yard space, but they'll have to battle the circumstances and each other to get a home that will suit their changing needs.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-modern-day-viking-conquest-in-sweden
1835,27,"Season 138, Episode 13",Picture-perfect Valencia,"After losing his mom, an Atlanta-based painter and post-production manager reassessed his priorities and decided to make a move for his art. Now, he and his father are moving to Valencia, Spain, where the beaches and buildings offer endless inspiration.",https://www.hgtv.com/shows/house-hunters-international/episodes/picture-perfect-valencia
1836,28,"Season 139, Episode 1",Flying into Fareham,"A pair of veteran travelers decide to leave the United States and permanently move to Fareham, England, after landing a job with UK's air traffic control systems. After they land, however, the couple experiences unexpected turbulence once they learn visiting a new country isn't the same as living there full time.",https://www.hgtv.com/shows/house-hunters-international/episodes/flying-into-fareham
1837,29,"Season 139, Episode 2",Pint-Sized Auckland Adventure,"After falling in love with travel, adventure and each other, a couple decides to continue traveling the world by following a job opportunity to Auckland, New Zealand. He wants the full Auckland experience but she is thinking about what's best for their son. Together, they'll have to redefine what adventure means to them as a family.",https://www.hgtv.com/shows/house-hunters-international/episodes/pint-sized-auckland-adventure
